WZ CODE;WZ;Jahr;Monat;Betriebe;Beschäftigte;Geleistete Arbeitsstunden;Bruttolohn- und -gehaltssumme;Umsatz;Inlandsumsatz;Auslandsumsatz;Auslandsumsatz mit der Eurozone;Auslandsumsatz mit dem sonstigen Ausland;Anteil_Auslandsumsatz
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Januar;1647,0;260739,0;34603000,0;775526000,0;4049096000,0;2423398000,0;1625698000,0;991828000,0;633870000,0;0,4014965315714915
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Februar;1663,0;262230,0;34557000,0;766464000,0;4123659000,0;2492281000,0;1631377000,0;986263000,0;645114000,0;0,39561394382998205
WZ08-222;Herstellung von Kunststoffwaren;2015,0;März;1667,0;263803,0;37682000,0;815259000,0;4692448000,0;2881548000,0;1810900000,0;1091090000,0;719810000,0;0,38591796861680727
WZ08-222;Herstellung von Kunststoffwaren;2015,0;April;1666,0;263913,0;35395000,0;821861000,0;4501503000,0;2750579000,0;1750924000,0;1057623000,0;693301000,0;0,38896430814330235
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Mai;1664,0;266811,0;33285000,0;830517000,0;4189608000,0;2556773000,0;1632834000,0;981482000,0;651353000,0;0,38973431404561
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Juni;1665,0;267821,0;36562000,0;898963000,0;4779317000,0;2922982000,0;1856334000,0;1127056000,0;729278000,0;0,3884098920410594
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Juli;1663,0;268887,0;37540000,0;842648000,0;4811189000,0;2979903000,0;1831286000,0;1094577000,0;736709000,0;0,38063065076013436
WZ08-222;Herstellung von Kunststoffwaren;2015,0;August;1664,0;271164,0;33710000,0;811255000,0;4102874000,0;2547829000,0;1555045000,0;895705000,0;659340000,0;0,37901358901102006
WZ08-222;Herstellung von Kunststoffwaren;2015,0;September;1664,0;271238,0;37277000,0;817831000,0;4733802000,0;2920170000,0;1813631000,0;1085117000,0;728514000,0;0,3831235442462528
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Oktober;1661,0;270623,0;38028000,0;831915000,0;4808486000,0;2967972000,0;1840514000,0;1111221000,0;729293000,0;0,3827637223026125
WZ08-222;Herstellung von Kunststoffwaren;2015,0;November;1661,0;270353,0;37541000,0;1098890000,0;4624772000,0;2862029000,0;1762743000,0;1068664000,0;694078000,0;0,38115241140536227
WZ08-222;Herstellung von Kunststoffwaren;2015,0;Dezember;1663,0;269170,0;31837000,0;856329000,0;3565583000,0;2174243000,0;1391340000,0;796916000,0;594424000,0;0,3902138864808364
